31168,180,Astounding Stories, July, 1931
5343,257,Rainbow Valley
2020,185,Tarzan the Terrible
8597,152,A Sportsman's Sketches: Works of Ivan Turgenev, Volume I
786,1830,Hard Times
781,172,Sinking of the Titanic and Great Sea Disasters
72,437,Thuvia, Maid of Mars
50571,206,The Green Odyssey
202,743,My Bondage and My Freedom
11136,875,A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind
106,267,Jungle Tales of Tarzan
4363,2680,Beyond Good and Evil
225,288,At the Back of the North Wind
20239,1402,The Ten Books on Architecture
29405,158,The Gods of Mars
64,628,The Gods of Mars
2777,209,Cabbages and Kings
2787,247,An Old-Fashioned Girl
14347,378,Plays by August Strindberg, Second series
2043,234,The Lock and Key Library: The most interesting stories of all nations: American
7188,194,Higher Lessons in English: A work on English grammar and composition
7166,203,The Home and the World
1549,191,Commentary on the Epistle to the Galatians
203,2302,Uncle Tom's Cabin
12894,157,Sacred Books of the East
39843,164,Women of History: Selected from the Writings of Standard Authors
5199,350,South! The Story of Shackleton's Last Expedition, 1914-1917; Includes both text and audio files
3294,151,The Sea-Hawk
308,2059,Three Men in a Boat
540,298,The Red Fairy Book
815,2134,Democracy in America — Volume 1
40868,246,The World as Will and Idea (Vol. 3 of 3)
161,5311,Sense and Sensibility
21839,742,Sense and Sensibility
8446,232,The Enormous Room
4558,242,Barry Lyndon
15408,248,Three Lives: Stories of The Good Anna, Melanctha and The Gentle Lena
7010,297,Graded Lessons in English: An Elementary English Grammar Consisting of One Hundred Practical Lessons, Carefully Graded and Adapted to the Class-Room
51066,1006,The Japan-Russia War: An Illustrated History of the War in the Far East
9363,220,The Best British Short Stories of 1922
13707,424,Twice Told Tales
8581,574,The Art of Money Getting; Or, Golden Rules for Making Money
1252,374,Le Morte d'Arthur: Volume 2
