2526,338,The Yoga Sutras of Patanjali: The Book of the Spiritual Man
17860,262,Stories from Hans Andersen
41501,278,How to Read Human Nature: Its Inner States and Outer Forms
11451,162,The Rome Express
51100,312,Chambers's Journal of Popular Literature, Science, and Art, No. 726: November 24, 1877
20590,224,Letters & Lettering: A Treatise with 200 Examples
5428,191,A Defence of Poetry and Other Essays
2388,388,The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata): Being a discourse between Arjuna, Prince of India, and the Supreme Being under the form of Krishna
25141,1112,The Pursuit of God
2825,160,Undine
12513,646,A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library
2040,643,Confessions of an English Opium-Eater
551,278,The Land That Time Forgot
17851,414,The History of Mary Prince, a West Indian Slave
51073,529,Little Almond Blossoms: A Book of Chinese Stories for Children
14056,161,The French Impressionists (1860-1900)
51213,729,The Art of Bookbinding: A practical treatise, with plates and diagrams
1292,367,The Way of the World
2770,207,Five Little Peppers and How They Grew
26323,284,The Suffrage Cook Book
18362,710,Fifteen Thousand Useful Phrases: A Practical Handbook Of Pertinent Expressions, Striking Similes, Literary, Commercial, Conversational, And Oratorical Terms, For The Embellishment Of Speech And Literature, And The Improvement Of The Vocabulary Of Those Persons Who Read, Write, And Speak English
32950,161,Camp and Trail
20288,204,Edward the Second
2130,2991,Utopia
30577,300,Told in the Coffee House: Turkish Tales
50820,166,Mrs. Dot: A Farce
30123,464,Micromegas
1022,317,Walking
24,371,O Pioneers!
6867,414,Lineage, Life and Labors of José Rizal, Philippine Patriot
19,297,The Song of Hiawatha
42055,238,Your Mind and How to Use It: A Manual of Practical Psychology
42290,232,A Hundred and Seventy Chinese Poems
12239,160,Dead Men's Money
1608,164,Camille (La Dame aux Camilias)
10739,151,The Essays of Arthur Schopenhauer; On Human Nature
20387,155,A Thin Ghost and Others
2062,239,All for Love; Or, The World Well Lost: A Tragedy
51195,350,Camp Court and Siege: A Narrative of Personal Adventure and Observation During Two Wars: 1861-1865; 1870-1871
34607,337,Woodcraft and Camping
170,162,The Haunted Hotel: A Mystery of Modern Venice
50960,647,Dave Dawson on Convoy Patrol
1103,384,King Richard III
1097,780,Mrs. Warren's Profession
2832,183,Myth, Ritual and Religion, Vol. 1 (of 2)
12187,188,The Mystery of 31 New Inn
12228,469,Home Geography for Primary Grades
1726,323,Theaetetus
11696,206,The Food of the Gods and How It Came to Earth
775,151,When the Sleeper Wakes
2874,197,Personal Recollections of Joan of Arc — Volume 1
5131,1481,Childe Harold's Pilgrimage
36238,1088,The Mantle, and Other Stories
157,531,Daddy-Long-Legs
26,730,Paradise Lost
972,1257,The Devil's Dictionary
1720,310,The Man Who Knew Too Much
5657,570,The Practice of the Presence of God
2010,257,The Autobiography of Charles Darwin
445,375,The Crowd: A Study of the Popular Mind
134,271,Maria; Or, The Wrongs of Woman
2529,682,The Analysis of Mind
19499,244,Music Notation and Terminology
33504,585,Opticks: Or, A Treatise of the Reflections, Refractions, Inflections, and Colours of Light
20,2522,Paradise Lost
15210,496,Darkwater: Voices from Within the Veil
32571,258,Hans Andersen's Fairy Tales. First Series
51025,371,Charles Sumner; his complete works, volume 20 (of 20)
35877,174,Group Psychology and The Analysis of The Ego
51061,937,The Wide World Magazine - Vol. 22, No. 131, February 1909
50970,334,An Account of the Escape of Six Federal Soldiers from Prison at Danville, Va.
711,269,Allan Quatermain
1911,251,Concerning Christian Liberty; with Letter of Martin Luther to Pope Leo X.
51229,293,The Reformation and the Renaissance (1485-1547): Second Edition
35451,661,Medea of Euripides
7097,219,Autobiography of Ma-ka-tai-me-she-kia-kiak, or Black Hawk
2081,229,The Blithedale Romance
1213,349,The Man That Corrupted Hadleyburg
26854,164,The Trembling of a Leaf: Little Stories of the South Sea Islands
29635,591,Dr. Montessori's Own Handbook
244,4535,A Study in Scarlet
18477,208,The Science of Human Nature: A Psychology for Beginners
51054,1059,The Wolf-Leader
2945,215,Essays — Second Series
22754,173,Masters of Space
50774,293,Contagion
41085,368,The New Life (La Vita Nuova)
8178,154,The Politeness of Princes, and Other School Stories
21051,157,Skylark Three
1354,258,Chronicles of Avonlea
10148,511,The Merry Adventures of Robin Hood
964,252,The Merry Adventures of Robin Hood
1572,365,Timaeus
1408,151,The Natural History of Selborne
13510,236,Knots, Splices and Rope Work: A Practical Treatise Giving Complete and Simple Directions for Making All the Most Useful and Ornamental Knots in Common Use, with Chapters on Splicing, Pointing, Seizing, Serving, etc.
19942,3810,Candide
68,571,Warlord of Mars
498,155,Rebecca of Sunnybrook Farm
1597,1730,Andersen's Fairy Tales
9411,320,Legends of the Gods: The Egyptian Texts, edited with Translations
535,179,Travels with a Donkey in the Cevennes
50963,502,Future Development of Japanese Dwelling Houses
13937,185,The Mysterious Rider
348,296,Hesiod, the Homeric Hymns, and Homerica
1685,406,The Mystery of the Yellow Room
492,211,Essays in the Art of Writing
30325,443,The Elements of Drawing, in Three Letters to Beginners
4352,365,Laughter: An Essay on the Meaning of the Comic
4018,846,Japanese Fairy Tales
10378,211,Autobiography
12384,194,Battle-Pieces and Aspects of the War
2587,559,Life Is a Dream
14636,297,Tragic Sense Of Life
1441,248,The Story of an African Farm
20533,202,Jill the Reckless
4047,209,The Leavenworth Case
34300,272,Leonardo da Vinci: A Psychosexual Study of an Infantile Reminiscence
17774,196,The Poetry of Architecture: Or, the Architecture of the Nations of Europe Considered in its Association with Natural Scenery and National Character
160,4881,The Awakening, and Selected Short Stories
18569,248,Voltaire's Philosophical Dictionary
51150,1050,Venus is a Man's World
2060,202,The History of Caliph Vathek
166,165,Summer
1946,1096,On War — Volume 1
