160,4881,The Awakening, and Selected Short Stories
829,4847,Gulliver's Travels into Several Remote Nations of the World
244,4535,A Study in Scarlet
19942,3810,Candide
2130,2991,Utopia
20,2522,Paradise Lost
1597,1730,Andersen's Fairy Tales
5131,1481,Childe Harold's Pilgrimage
51026,1466,Germany's Fighting Machine: Her Army, her Navy, her Airships and Why She Arrayed Them: Against the Allied Powers of Europe
3420,1409,A Vindication of the Rights of Woman: With Strictures on Political and Moral Subjects
18269,1290,Pascal's Pensées
972,1257,The Devil's Dictionary
3289,1228,The Valley of Fear
974,1142,The Secret Agent: A Simple Tale
25141,1112,The Pursuit of God
28522,1097,Laura Middleton; Her Brother and her Lover
1946,1096,On War — Volume 1
36238,1088,The Mantle, and Other Stories
51054,1059,The Wolf-Leader
51150,1050,Venus is a Man's World
51072,979,Shamar's War
51061,937,The Wide World Magazine - Vol. 22, No. 131, February 1909
4018,846,Japanese Fairy Tales
1097,780,Mrs. Warren's Profession
26,730,Paradise Lost
51213,729,The Art of Bookbinding: A practical treatise, with plates and diagrams
18362,710,Fifteen Thousand Useful Phrases: A Practical Handbook Of Pertinent Expressions, Striking Similes, Literary, Commercial, Conversational, And Oratorical Terms, For The Embellishment Of Speech And Literature, And The Improvement Of The Vocabulary Of Those Persons Who Read, Write, And Speak English
2529,682,The Analysis of Mind
35451,661,Medea of Euripides
38326,661,Bede's Ecclesiastical History of England
50960,647,Dave Dawson on Convoy Patrol
12513,646,A Classification and Subject Index for Cataloguing and Arranging the Books and Pamphlets of a Library
2040,643,Confessions of an English Opium-Eater
12753,640,The Legends of King Arthur and His Knights
6081,627,Biographia Literaria
32474,623,The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1 (of 2): Written by Himself Containing a True and Full Account of the Discovery and Conquest of Mexico and New Spain.
4320,596,An Enquiry Concerning the Principles of Morals
29635,591,Dr. Montessori's Own Handbook
33504,585,Opticks: Or, A Treatise of the Reflections, Refractions, Inflections, and Colours of Light
3435,578,The Book of the Thousand Nights and a Night — Volume 01
68,571,Warlord of Mars
5657,570,The Practice of the Presence of God
2587,559,Life Is a Dream
217,547,Sons and Lovers
157,531,Daddy-Long-Legs
51073,529,Little Almond Blossoms: A Book of Chinese Stories for Children
10148,511,The Merry Adventures of Robin Hood
50963,502,Future Development of Japanese Dwelling Houses
