2148,2770,The Works of Edgar Allan Poe — Volume 2
10615,556,An Essay Concerning Humane Understanding, Volume 1: MDCXC, Based on the 2nd Edition, Books 1 and 2
376,461,A Journal of the Plague Year: Written by a Citizen Who Continued All the While in London
11417,445,French Mediaeval Romances from the Lays of Marie de France
831,357,Four Arthurian Romances
3836,312,Swiss Family Robinson
42243,247,The Hour of the Dragon
17650,235,The Sonnets, Triumphs, and Other Poems of Petrarch
19926,206,Standard Selections: A Collection and Adaptation of Superior Productions From: Best Authors For Use in Class Room and on the Platform
149,200,The Lost Continent
3756,162,Indiscretions of Archie
4792,157,In Freedom's Cause : A Story of Wallace and Bruce
