844,9373,The Importance of Being Earnest: A Trivial Comedy for Serious People
2542,8213,A Doll's House : a play
6130,4795,The Iliad
2814,4742,Dubliners
3825,3580,Pygmalion
140,3535,The Jungle
55,3035,The Wonderful Wizard of Oz
12,2892,Through the Looking-Glass
45,2706,Anne of Green Gables
36,2496,The War of the Worlds
7700,2362,Lysistrata
5740,2257,Tractatus Logico-Philosophicus
2680,2223,Meditations
834,2164,The Memoirs of Sherlock Holmes
2264,1986,Macbeth
37134,1980,The Elements of Style
4276,1543,North and South
1837,1389,The Prince and the Pauper
3800,1327,Ethics
447,1295,Maggie: A Girl of the Streets
32032,1292,Second Variety
51038,1256,Of Ghostes and Spirites, Walking by Night: And of Straunge Noyses, Crackes, and Sundrie Forewarnings,: Which Commonly Happen Before the Death of Men: Great: Slaughters, and Alterations of Kingdoms
5225,1206,The Satyricon — Complete
113,1153,The Secret Garden
5682,1148,Fundamental Principles of the Metaphysic of Morals
51102,1148,The Sentimentalists
2892,1123,Irish Fairy Tales
1079,1119,The Life and Opinions of Tristram Shandy, Gentleman
45631,1116,Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853, from a Cotton Plantation near the Red River in Louisiana
17192,1081,The Raven
5001,1057,Relativity : the Special and General Theory
2199,994,The Iliad
1658,958,Phaedo
51199,944,Teddy Bears
3186,919,The Mysterious Stranger, and Other Stories
50988,898,Bodyguard
10554,896,Right Ho, Jeeves
51145,823,Asmodeus; or, The Devil on Two Sticks
20417,803,The Outline of Science, Vol. 1 (of 4): A Plain Story Simply Told
1756,799,Uncle Vanya: Scenes from Country Life in Four Acts
2067,784,Beasts, Men and Gods
3155,769,She
17396,716,The Secret Garden
8578,715,The Grand Inquisitor
12096,699,Bushido, the Soul of Japan
15396,688,Tender Buttons: Objects—Food—Rooms
50994,679,The Cambridge Book of Poetry for Children: Parts 1 and 2
1,673,The Declaration of Independence of the United States of America
29558,666,Boy Scouts Handbook: The First Edition, 1911
14323,658,Là-bas
15143,653,Famous Modern Ghost Stories
51109,650,Elocution Simplified: With An Appendix on Lisping, Stammering, Stuttering, and: other defects of speech.
833,648,The Theory of the Leisure Class
18247,648,The Last Man
2811,633,Letters of Pliny
2274,632,How to Live on 24 Hours a Day
38145,628,Human, All Too Human: A Book for Free Spirits
9105,622,Reflections; or Sentences and Moral Maxims
50928,616,Hot Planet
10897,612,The Wendigo
51080,610,Among the Burmans: A Record of Fifteen Years of Work and its Fruitage
1430,609,Beautiful Stories from Shakespeare
51131,595,A voyage to Spitzbergen: containing an account of that country, of the zoology of: the North; of the Shetland Islands; and of the whale fishery
1170,588,Anabasis
