1142,219,Typhoon
51199,944,Teddy Bears
24534,201,The Autobiography of St. Ignatius
419,186,The Magic of Oz
5682,1148,Fundamental Principles of the Metaphysic of Morals
18137,171,Little Fuzzy
38145,628,Human, All Too Human: A Book for Free Spirits
7700,2362,Lysistrata
2412,289,The Categories
1689,252,The Pivot of Civilization
27458,371,Aeschylus' Prometheus Bound and the Seven Against Thebes
50991,493,Fifteen Months in Dixie: My Personal Experience in Rebel Prisons
38067,241,A Select Collection of Valuable and Curious Arts and Interesting Experiments,: Which are Well Explained and Warranted Genuine and may be Performed Easily, Safely, and at Little Expense.
12096,699,Bushido, the Soul of Japan
45755,162,The Burning Secret
10897,612,The Wendigo
50988,898,Bodyguard
3837,158,Hospital Sketches
15460,170,A Course In Wood Turning
8714,154,Four Plays of Aeschylus
8905,210,Lyrical Ballads, with Other Poems, 1800, Volume 1
15041,199,The Negro Problem
6763,383,Aristotle on the art of poetry
25929,363,Daemonologie.
11074,241,The Damned
791,245,The Princess
15396,688,Tender Buttons: Objects—Food—Rooms
5347,159,Understood Betsy
20248,160,The Necessity of Atheism
17192,1081,The Raven
22535,267,Rubáiyát of Omar Khayyám and Salámán and Absál: Together With A Life Of Edward Fitzgerald And An Essay On: Persian Poetry By Ralph Waldo Emerson
21970,192,The Scarlet Plague
50585,160,A Thousand Degrees Below Zero
5001,1057,Relativity : the Special and General Theory
19445,264,Omnilingual
220,539,The Secret Sharer
46787,188,Grapes of wrath
11962,235,A Mind That Found Itself: An Autobiography
653,174,The Chimes: A Goblin Story of Some Bells That Rang an Old Year out and a New Year In
15238,163,Mathilda
18947,325,The Younger Edda; Also called Snorre's Edda, or The Prose Edda
16376,223,Browning's Shorter Poems
28215,214,Empire
51188,430,The Captain's Story: or The Disobedient Son
16921,218,Plague Ship
3536,220,The Enchanted Castle
19553,158,The Private Diary of Dr. John Dee, and the Catalog of His Library of Manuscripts
7164,186,Gitanjali
50994,679,The Cambridge Book of Poetry for Children: Parts 1 and 2
16269,411,Thought-Forms
51079,338,Ned, Bob and Jerry at Boxwood Hall: Or The Motor Boys as Freshmen
956,163,Tik-Tok of Oz
41637,158,The Forgotten Planet
1013,348,The First Men in the Moon
51131,595,A voyage to Spitzbergen: containing an account of that country, of the zoology of: the North; of the Shetland Islands; and of the whale fishery
1430,609,Beautiful Stories from Shakespeare
33511,351,Tales of Passed Times
21840,302,Woman: Her Sex and Love Life
3825,3580,Pygmalion
13505,179,The Duel and Other Stories
8486,423,Ghost Stories of an Antiquary
50928,616,Hot Planet
33922,395,True Detective Stories from the Archives of the Pinkertons
1094,474,Tamburlaine the Great — Part 1
2607,242,Psmith, Journalist
20748,231,Favorite Fairy Tales
7524,277,The Germany and the Agricola of Tacitus
37970,243,Contemporary One-Act Plays
6043,389,The Spanish Tragedie
42988,200,Nursing as Caring: A Model for Transforming Practice
30452,187,Astounding Stories,  April, 1931
51038,1256,Of Ghostes and Spirites, Walking by Night: And of Straunge Noyses, Crackes, and Sundrie Forewarnings,: Which Commonly Happen Before the Death of Men: Great: Slaughters, and Alterations of Kingdoms
844,9373,The Importance of Being Earnest: A Trivial Comedy for Serious People
34325,245,The Zen Experience
1,673,The Declaration of Independence of the United States of America
33016,159,Astounding Stories,  August, 1931
5720,421,A Shropshire Lad
1756,799,Uncle Vanya: Scenes from Country Life in Four Acts
1059,343,The World Set Free
51048,527,The Geologic Story of Canyonlands National Park
17314,190,Five Children and It
16578,163,The Kipling Reader: Selections from the Books of Rudyard Kipling
5740,2257,Tractatus Logico-Philosophicus
887,173,Intentions
51140,515,The Bible and Polygamy: Does the Bible Sanction Polygamy?
1570,301,The Power of Concentration
3261,184,News from Nowhere; Or, An Epoch of Rest: Being Some Chapters from a Utopian Romance
9629,210,Ghost Stories of an Antiquary Part 2: More Ghost Stories
1270,188,In Defense of Women
2131,223,An Account of Egypt
12642,193,The Lady's Album of Fancy Work for 1850: Consisting of Novel, Elegant, and Useful Designs in Knitting, Netting, Crochet, Braiding, and Embroidery, with Clear and Explicit Directions for Working the Patterns
24055,188,The Sayings Of Confucius
6409,327,How to Speak and Write Correctly
51109,650,Elocution Simplified: With An Appendix on Lisping, Stammering, Stuttering, and: other defects of speech.
30177,160,Astounding Stories of Super-Science January 1931
19022,342,The Science of Fingerprints: Classification and Uses
9105,622,Reflections; or Sentences and Moral Maxims
3800,1327,Ethics
2274,632,How to Live on 24 Hours a Day
51128,578,Greek Dress: A Study of the Costumes Worn in Ancient Greece, from Pre-Hellenic Times to the Hellenistic Age
37134,1980,The Elements of Style
34773,152,Woodcraft
5225,1206,The Satyricon — Complete
24737,352,The Children of Odin: The Book of Northern Myths
2017,181,Dhammapada, a Collection of Verses; Being One of the Canonical Books of the Buddhists
391,419,The Song of Roland
447,1295,Maggie: A Girl of the Streets
17243,167,Full Revelations of a Professional Rat-catcher After 25 Years' Experience
29558,666,Boy Scouts Handbook: The First Edition, 1911
2253,266,Henry V
24964,151,Handbook of Embroidery
17594,227,Lectures on Language: As Particularly Connected with English Grammar.
1666,286,The Golden Asse
51063,311,John Call Dalton, M.D., U.S.V.
15772,223,Machiavelli, Volume I
34632,525,Selected Sermons of Jonathan Edwards
20151,168,Hidden Treasures; Or, Why Some Succeed While Others Fail
33525,451,Stories from Tagore
55,3035,The Wonderful Wizard of Oz
2197,326,The Gambler
50827,198,Orphans of the Void
2344,445,The Adventure of the Cardboard Box
36,2496,The War of the Worlds
4276,1543,North and South
1249,154,Anthem
2814,4742,Dubliners
31431,158,Old-Time Stories
6753,199,Psmith in the City
7439,399,English Fairy Tales
33391,248,Bill Nye's Cordwood
31893,172,Astounding Stories, June, 1931
43936,332,The Wonderful Wizard of Oz
25290,515,Line and Form (1900)
222,352,The Moon and Sixpence
32759,151,Red Nails
1837,1389,The Prince and the Pauper
8578,715,The Grand Inquisitor
2892,1123,Irish Fairy Tales
8102,308,The Forme of Cury: A Roll of Ancient English Cookery Compiled, about A.D. 1390
3328,312,Man and Superman: A Comedy and a Philosophy
398,215,The First Book of Adam and Eve
50975,348,Motor Matt's Prize: or, The Pluck That Wins
51080,610,Among the Burmans: A Record of Fifteen Years of Work and its Fruitage
11505,485,All Things Considered
140,3535,The Jungle
2811,633,Letters of Pliny
20417,803,The Outline of Science, Vol. 1 (of 4): A Plain Story Simply Told
16452,438,The Iliad of Homer: Translated into English Blank Verse by William Cowper
1051,347,Sartor Resartus: The Life and Opinions of Herr Teufelsdröckh
51216,411,Bridge; its Priciples and Rules of Play: with Illustrative Hands and the Club Code of Bridge Laws
4925,242,The Age of Fable
15492,350,A Doll's House
18247,648,The Last Man
