11,17366,Alice's Adventures in Wonderland
23,10442,Narrative of the Life of Frederick Douglass, an American Slave
5200,9774,Metamorphosis
30254,7642,The Romance of Lust: A Classic Victorian erotic novel
15399,3974,The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself
236,3478,The Jungle Book
215,2439,The Call of the Wild
61,2389,The Communist Manifesto
10623,2275,Plays
2781,2093,Just So Stories
3296,1967,The Confessions of St. Augustine
5827,1838,The Problems of Philosophy
25717,1697,The History Of The Decline And Fall Of The Roman Empire: Table of Contents with links in the HTML file to the two: Project Gutenberg editions (12 volumes)
19033,1678,Alice's Adventures in Wonderland
1250,1606,Anthem
289,1475,The Wind in the Willows
31547,1420,Youth
35997,1370,The Jungle Book
22994,1354,The Frontier in American History
14975,1353,Southern Horrors: Lynch Law in All Its Phases
16643,1339,Essays by Ralph Waldo Emerson
1974,1327,The Poetics of Aristotle
78,1272,Tarzan of the Apes
50999,1149,Med Ship Man
51031,1133,More About the Squirrels
2149,1096,The Works of Edgar Allan Poe — Volume 3
8799,1093,The Divine Comedy by Dante, Illustrated, Paradise, Complete
28885,1051,Alice's Adventures in Wonderland: Illustrated by Arthur Rackham. With a Proem by Austin Dobson
32,1013,Herland
26184,981,Simple Sabotage Field Manual
51075,967,A Stone and a Spear
5402,902,1811 Dictionary of the Vulgar Tongue
51170,873,The Fire and the Sword
500,863,The Adventures of Pinocchio
7986,859,Plays by Anton Chekhov, Second Series
31469,853,The Shunned House
50971,824,The Problem Makers
7128,819,Indian Fairy Tales
11030,811,Incidents in the Life of a Slave Girl, Written by Herself
269,804,Beasts and Super-Beasts
621,798,The Varieties of Religious Experience: A Study in Human Nature
921,790,De Profundis
271,780,Black Beauty
550,780,Silas Marner
51116,766,The Geologic Story of Arches National Park: Geological Survey Bulletin 1393
23042,765,The Tempest: The Works of William Shakespeare [Cambridge Edition] [9 vols.]
51203,744,A Coffin for Jacob
51134,742,A Book of Dartmoor: Second Edition
71,723,On the Duty of Civil Disobedience
51011,723,The Ghost Camp: or the Avengers
2151,716,The Works of Edgar Allan Poe — Volume 5
51197,709,What to Eat, How to Serve it
13726,699,Apology, Crito, and Phaedo of Socrates
19994,676,The Aesop for Children: With pictures by Milo Winter
51024,675,The Diggers: The Australians in France
51018,660,Three Days in the Village: And Other Sketches. Written from 1909 to July 1910.
14522,646,The Canterville Ghost
50133,646,The Dunwich Horror
28521,643,The Power of Mesmerism: A Highly Erotic Narrative of Voluptuous Facts and Fancies
20781,642,Heidi: (Gift Edition)
51059,634,Mrs. Pendleton's Four-in-hand
14977,631,The Red Record: Tabulated Statistics and Alleged Causes of Lynching in the United States
51176,609,The captivity, sufferings, and escape of James Scurry: Who was detained a prisoner during ten years, in the: dominions of Hyder Ali and Tippoo Saib
50956,599,Russia's Part in the World War
3755,576,Common Sense
51177,573,Legends of Lancashire
2810,567,Plunkitt of Tammany Hall: a series of very plain talks on very practical politics, delivered by ex-Senator George Washington Plunkitt, the Tammany philosopher, from his rostrum—the New York County court house bootblack stand; Recorded by William L. Riordon
10002,563,The House on the Borderland
14969,562,Three Contributions to the Theory of Sex
51110,544,The Mentor: Julius Caesar, Vol. 6, Num. 2, Serial No. 150, March 1, 1918
