25305,2222,Memoirs Of Fanny Hill: A New and Genuine Edition from the Original Text (London, 1749)
514,2080,Little Women
13415,1146,The Lady with the Dog and Other Stories
51062,943,New Lights on Old Paths
51,826,Anne of the Island
9603,726,Hung Lou Meng, or, the Dream of the Red Chamber, a Chinese Novel, Book I
29728,664,Cookery and Dining in Imperial Rome
15776,655,The Economic Consequences of the Peace
51022,653,Brittany
50966,644,On the Fourfold Root of the Principle of Sufficient Reason and On the Will in Nature: Two Essays (revised edition)
416,486,Winesburg, Ohio: A Group of Tales of Ohio Small Town Life
50957,465,Man and the Glacial Period
70,446,What Is Man? and Other Essays
537,440,Tales of Terror and Mystery
2048,435,The Sketch-Book of Geoffrey Crayon
128,427,The Arabian Nights Entertainments
6456,414,Public Opinion
3742,373,The Writings of Thomas Paine — Volume 2 (1779-1792): The Rights of Man
11703,339,The Swiss Family Robinson; or Adventures in a Desert Island
1312,319,Selected Stories of Bret Harte
1858,318,Plain Tales from the Hills
1640,281,Lilith: A Romance
51141,280,Charlie Bell, The Waif of Elm Island
360,247,What is Property? An Inquiry into the Principle of Right and of Government
1480,246,Tom Brown's School Days
14811,243,The New Freedom: A Call For the Emancipation of the Generous Energies of a People
37106,231,Little Women; Or, Meg, Jo, Beth, and Amy
4540,230,In His Steps
85,227,The Beasts of Tarzan
24564,226,A Manual of the Operations of Surgery: For the Use of Senior Students, House Surgeons, and Junior Practitioners
45988,214,Novum Organum: Or True Suggestions for the Interpretation of Nature
33887,213,Fairy and Folk Tales of the Irish Peasantry
24269,205,The Odyssey of Homer
28269,203,Art in Needlework: A Book about Embroidery
51218,202,Proceedings of the New York Historical Association [1906]
44024,195,The Book of War: The Military Classic of the Far East: The Articles of Suntzu; The Sayings of Wutzu
15868,193,The Man Without a Country, and Other Tales
3031,192,Wild Animals I Have Known
40426,192,Daddy Long-Legs: A Comedy in Four Acts
770,185,The Story of the Treasure Seekers: Being the Adventures of the Bastable Children in Search of a Fortune
21964,182,The Short-story
29198,172,Astounding Stories of Super-Science July 1930
39850,157,Cattle-Ranch to College: The True Tales of A Boy's Adventures in the Far West
3026,151,North of Boston
