19002,333,Alice's Adventures Under Ground: Being a facsimile of the original Ms. book afterwards developed into "Alice's Adventures in Wonderland"
1439,169,Dreams
1968,175,The Human Comedy: Introductions and Appendix
301,227,The Ballad of Reading Gaol
25717,1697,The History Of The Decline And Fall Of The Roman Empire: Table of Contents with links in the HTML file to the two: Project Gutenberg editions (12 volumes)
26113,184,Handbook of Wool Knitting and Crochet
51203,744,A Coffin for Jacob
32037,174,Eureka: A Prose Poem
10732,188,The Essays of Arthur Schopenhauer; Studies in Pessimism
7100,183,Adventures of Huckleberry Finn, Chapters 01 to 05
51031,1133,More About the Squirrels
22089,474,The Liberty Minstrel
582,222,A Collection of Beatrix Potter Stories
14976,197,Mob Rule in New Orleans: Robert Charles and His Fight to Death, the Story of His Life, Burning Human Beings Alive, Other Lynching Statistics
3691,322,Little Wars; a game for boys from twelve years of age to one hundred and fifty and for that more intelligent sort of girl who likes boys' games and books.
2819,162,Barrack Room Ballads
50968,407,The Origin of the Red Cross: "Un souvenir de Solferino"
27203,188,Self Mastery Through Conscious Autosuggestion
608,274,Areopagitica: A Speech for the Liberty of Unlicensed Printing to the Parliament of England
485,178,The Road to Oz
1238,166,The City of Dreadful Night
51116,766,The Geologic Story of Arches National Park: Geological Survey Bulletin 1393
50848,165,Soldier Boy
51015,520,Moral Poison in Modern Fiction
32522,480,Mr. Spaceship
1121,355,As You Like It
51226,160,Connecticut Wide-Awake Songster
500,863,The Adventures of Pinocchio
50885,243,The Weather on Mercury
28767,358,The Defenders
1019,164,Poems by Currer, Ellis, and Acton Bell
26558,349,Pennsylvania Dutch Cooking
51024,675,The Diggers: The Australians in France
50999,1149,Med Ship Man
17208,537,The Tales of Mother Goose: As First Collected by Charles Perrault in 1696
1676,220,Alcibiades I
1210,275,Kwaidan: Stories and Studies of Strange Things
27083,235,The Subjection of Women
8176,173,Death at the Excelsior, and Other Stories
14522,646,The Canterville Ghost
2346,297,The Adventure of the Bruce-Partington Plans
28,356,Aesop's Fables
