10163,Mohammedanism,C. Snouck Hurgronje,english
10159,England and the War,Walter Raleigh,english
10161,English Poets of the Eighteenth Century,Selected and Edited with an Introduction by Ernest Bernbaum,english
101,Hacker Crackdown,Bruce Sterling,english
10211,At Whispering Pine Lodge,Lawrence J. Leslie,english
10214,Introduction to the Philosophy and Writings of Plato,Thomas Taylor,english
10212,Peck's Bad Boy at the Circus,George W. Peck,english
10210,Wolves of the Sea,Randall Parrish,english
10216,Poems,Marietta Holley,english
10062,The Iron Game,Henry Francis Keenan,english
10219,The Poetical Works of William Wordsworth,(Edited by William Knight),english
10160,Pierre Noziere,Anatole France,french
107,Far from the Madding Crowd,Thomas Hardy,english
10165,Across the Zodiac,Percy Greg,english
10088,Thaumaturgia,An Oxonian,english
10201,The Desert of Wheat,Zane Grey,english
106,Jungle Tales of Tarzan,Edgar Rice Burroughs,english
10072,English Housewifery Exemplified,Elizabeth Moxon,english
1020,Sword Blades and Poppy Seed,Amy Lowell,english
10202,Maria Mitchell: Life, Letters, and Journals,Maria Mitchell,english
10213,The Everlasting Whisper,Jackson Gregory,english
1029,The Night-Born,Jack London,english
1028,The Professor,(AKA Charlotte Bronte) Currer Bell,english
10081,The Boy Allies at Jutland,Robert L. Drake,english
10082,The Hampstead Mystery,John R. Watson,english
105,Persuasion,Jane Austen,english
10077,The Atlantic Monthly, Volume 10, Number 60, October 1862,Various,english
10224,Kalitan, Our Little Alaskan Cousin,Mary F. Nixon-Roulet,english
10217,The Land Of Little Rain,Mary Hunter Austin,english
10251,Town Geology,Charles Kingsley,english
10234,Old Creole Days,George Washington Cable,english
10226,Beautiful Joe,by Marshall Saunders,english
108,The Return of Sherlock Holmes,Arthur Conan Doyle,english
10268,Patty at Home,Carolyn Wells,english
10222,The Pilgrims of New England,Mrs. J. B. Webb,english
10221,Purple Springs,Nellie L. McClung,english
10266,The Glands Regulating Personality,Louis Berman, M.D.,english
10116,All Saints' Day and Other Sermons,Charles Kingsley,english
10318,Damon and Delia,William Godwin,english
10316,Roy Blakeley's Adventures in Camp,Percy Keese Fitzhugh,english
10274,Sermons on Evil-Speaking,Isaac Barrow,english
10267,The Outdoor Chums,Captain Quincy Allen,english
10319,Dave Darrin's Third Year at Annapolis,H. Irving Hancock,english
10315,Persian Literature, Volume 1,Comprising The Shah Nameh, The,Anonymous,english
10291,In The Fourth Year,H.G. Wells,english
10290,Confession de Minuit,Georges Duhamel,french
1033,Rose O' the River,Kate Douglas Wiggin,english
10114,The Great Events by Famous Historians, Vol. 2,Various,english
1037,The Life of John Bunyan,Edmund Venables,english
10320,Dotty Dimple at Play,Sophie May,english
1036,Joe Wilson and His Mates,Henry Lawson,english
10314,Sonnets,Michael Angelo Buonarroti & Tommaso Campanella,english
10321,Dragon's blood,Henry Milner Rideout,english
10323,The Rover Boys at College,Edward Stratemeyer,english
10325,The Gospel of the Pentateuch,Charles Kingsley,english
10317,Betty Gordon at Boarding School,Alice Emerson,english
10324,Bull Hunter,Max Brand,english
10223,Meyers Konversationslexikon Volume 15,Various,german
10322,Miss Prudence,Jennie Maria (Drinkwater) Conklin,english
10293,Relacion historica de los sucesos de la rebelion de Jose Gabriel,Anonymous,spanish
1024,The Wrecker,Robert Louis Stevenson and Lloyd Osbourne,english
1027,The Lone Star Ranger,Zane Grey,english
1039,Missionary Travels and Researches in South Africa,David Livingstone,english
10002,The House on the Borderland,William Hope Hodgson,english
10003,My First Years As A Frenchwoman, 1876-1879,Mary King Waddington,english
10004,The Warriors,Lindsay, Anna Robertson Brown,english
1006,The Divine Comedy of Dante:  Purgatory,Dante Alighieri,english
1007,The Divine Comedy of Dante:  Paradise,Dante Alighieri,english
10007,Carmilla,J. Sheridan LeFanu,english
10021,Tenterhooks,Ada Leverson,english
10022,White Queen of the Cannibals: The Story of Mary Slessor,A. J. Bueltmann,english
10023,There's Pippins And Cheese To Come,Charles S. Brooks,english
10027,The Triple Alliance,Harold Avery,english
1001,Divine Comedy, Longfellow's Translation, Hell,Dante Alighieri,english
1005,Hell,Dante Alighieri,english
10020,The Strand Magazine: Volume VII, Issue 37. January, 1894.,Edited by George Newnes,english
10008,The Mystery,Stewart Edward White and Samuel Hopkins Adams,english
10005,A Voyage to the Moon,George Tucker,english
10011,365 Foreign Dishes,Unknown,english
10009,Wild Northern Scenes,S. H. Hammond,english
10031,Edgar Allan Poe's Complete Poetical Works,Edgar Allan Poe,english
10029,The Hunt Ball Mystery,Magnay, William,english
10012,The Mountains of California,John Muir,english
10037,A Beautiful Possibility,Edith Ferguson Black,english
10039,The Works of Aphra Behn, Vol. III,Aphra Behn,english
10042,The Child Under Eight,E.R. Murray and Henrietta Brown Smith,english
10041,The Rivet in Grandfather's Neck,James Branch Cabell,english
10043,Klondyke Nuggets,Joseph Ladue,english
10048,Billie Bradley and Her Inheritance,Janet D. Wheeler,english
10049,Old Lady Mary,Margaret O. (Wilson) Oliphant,english
10050,A Little Pilgrim,Margaret O. (Wilson) Oliphant,english
10030,The Life of Hon. William F. Cody,William F. Cody,english
10045,Dave Darrin's Second Year at Annapolis,H. Irving Hancock,english
10044,The Father of British Canada: A Chronicle of Carleton,William Wood,english
10024,Beneath the Banner,F. J. Cross,english
10025,Gaslight Sonatas,Fannie  Hurst,english
10052,The Open Door, and the Portrait.,Margaret O. (Wilson) Oliphant,english
10051,The Little Pilgrim: Further Experiences.,Margaret O. (Wilson) Oliphant,english
10038,The Magnetic North,Elizabeth Robins (C. E. Raimond),english
10060,Discourses,Thomas H. Huxley,english
10058,The Divine Office,Rev. E. J. Quigley,english
10062,The Iron Game,Henry Francis Keenan,english
10063,Happiness and Marriage,Elizabeth (Jones) Towne,english
10065,The Constitution of the United States,James M. Beck,english
10046,Salute to Adventurers,John Buchan,english
10064,Beltane The Smith,Jeffery Farnol,english
10066,Gunman's Reckoning,Max Brand,english
10067,The Mystery Of The Boule Cabinet,Burton Egbert Stevenson,english
10053,La vampire,Paul H.C. Feval,french
10070,Stories of Great Americans for Little Americans,Edward Eggleston,english
10071,By-Ways of Bombay,S. M. Edwardes, C.V.O.,english
10057,The Secret of the Tower,Hope, Anthony,english
10073,The Century Vocabulary Builder,Creever & Bachelor,english
10076,Lister's Great Adventure,Harold Bindloss,english
10072,English Housewifery Exemplified,Elizabeth Moxon,english
10080,Mobilizing Woman-Power,Harriot Stanton Blatch,english
10079,The Atlantic Monthly, Volume 2, Number 9, July, 1858,Various,english
10059,Aunt Jane's Nieces on Vacation,Edith Van Dyne,english
10086,The Minute Boys of the Mohawk Valley,James Otis,english
10068,The Power and the Glory,Grace MacGowan Cooke,english
10077,The Atlantic Monthly, Volume 10, Number 60, October 1862,Various,english
10081,The Boy Allies at Jutland,Robert L. Drake,english
10082,The Hampstead Mystery,John R. Watson,english
10083,The House of the Whispering Pines,Anna Katharine Green,english
10084,Kazan,James Oliver Curwood,english
10085,Moorish Literature,Anonymous,english
10087,Old Lady Number 31,Louise Forsslund,english
10090,Peaceless Europe,Francesco Saverio Nitti,english
10093,Gutta-Percha Willie,George MacDonald,english
10094,A Soldier of Virginia,Burton Egbert Stevenson,english
10095,The Twilight of the Gods, and Other Tales,Richard Garnett,english
10097,The Healing of Nations and the Hidden Sources of Their Strife,Edward Carpenter,english
10098,How Jerusalem Was Won,W.T. Massey,english
10099,Towards The Goal,Mrs. Humphry Ward,english
10101,A Little Boy Lost,Hudson, W. H.,english
10102,The Czar's Spy,William Le Queux,english
10100,Byron,John Nichol,english
10055,Hamburgische Dramaturgie,Gotthold Ephraim Lessing,german
10107,With British Guns in Italy,Hugh Dalton,english
10111,Boys and girls from Thackeray,Kate Dickinson Sweetser,english
10112,American Political Ideas Viewed From The Standpoint Of Universal History,John Fiske,english
10056,Chinese Literature,Anonymous,english
10088,Thaumaturgia,An Oxonian,english
10116,All Saints' Day and Other Sermons,Charles Kingsley,english
10110,The Postmaster's Daughter,Louis Tracy,english
10103,The Great Events by Famous Historians, Vol. 8,Editor-in-Chief: Rossiter Johnson,english
10109,The Unspeakable Gentleman,John P. Marquand,english
10119,Adonais,Shelley,english
1014,The Lure of the Dim Trails,by (AKA B. M. Sinclair) B. M. Bower,english
10118,The Folk-lore of Plants,T. F. Thiselton-Dyer,english
10123,Aunt Jane's Nieces,Edith Van Dyne,english
10124,Aunt Jane's Nieces and Uncle John,Edith Van Dyne,english
10114,The Great Events by Famous Historians, Vol. 2,Various,english
10126,Home-Life of the Lancashire Factory Folk during the Cotton Famine,Edwin Waugh,english
10121,Oriental Literature,Anonymous,english
10120,England of My Heart--Spring,Edward Hutton,english
1013,The First Men In The Moon,H. G. Wells,english
10127,Abducted to Oz,Bob Evans and Chris Dulabone,english
1019,Poems,(AKA Charlotte, Emily and Anne Bronte) Currer, Ellis, and Acton Bell,english
10135,The Great English Short-Story Writers, Vol. 1,Various,english
