number	title	author	language
10107	With British Guns in Italy	Hugh Dalton	English
10108	A Treatise Of Daunses	Anonymous	English
10109	The Unspeakable Gentleman	John P. Marquand	English
10110	The Postmaster's Daughter	Louis Tracy	English
10111	Boys and girls from Thackeray	Kate Dickinson Sweetser	English
10112	American Political Ideas Viewed From The Standpoint Of Universal History	John Fiske	English
10113	De mannen van '80 aan het woord	E. D'Oliveira	Dutch
10114	The Great Events by Famous Historians, Vol. 2	Various	English
10116	All Saints' Day and Other Sermons	Charles Kingsley	English
10117	Den siste atenaren	Viktor Rydberg	Swedish
10118	The Folk-lore of Plants	T. F. Thiselton-Dyer	English
10119	Adonais	Shelley	English
1013	The First Men In The Moon	H. G. Wells	English
1014	The Lure of the Dim Trails	by (AKA B. M. Sinclair) B. M. Bower	English
1015	The Oregon Trail	Francis Parkman, Jr.	English
1019	Poems	(AKA Charlotte, Emily and Anne Bronte) Currer, Ellis, and Acton Bell	English
10120	England of My Heart--Spring	Edward Hutton	English
10121	Oriental Literature	Anonymous	English
10122	Fairies and Fusiliers	Robert Graves	English
10123	Aunt Jane's Nieces	Edith Van Dyne	English
10124	Aunt Jane's Nieces and Uncle John	Edith Van Dyne	English
10125	The Best Letters of Charles Lamb	Charles Lamb	English
10126	Home-Life of the Lancashire Factory Folk during the Cotton Famine	Edwin Waugh	English
10127	Abducted to Oz	Bob Evans and Chris Dulabone	English
10128	The Great Events by Famous Historians, Vol. 17	Charles Francis Horne	English
10129	Excellent Women	Various	English
10130	Books for Children	Charles and Mary Lamb	English
10131	Required Poems for Reading and Memorizing	Anonymous	English
10132	The Sowers	Henry Seton Merriman	English
10133	The Vigil of Venus and Other Poems by "Q"	Q	English
10134	John Wesley, Jr.	Dan B. Brummitt	English
10135	The Great English Short-Story Writers, Vol. 1	Various	English
10136	The Book of Household Management	Mrs. Isabella Beeton	English
10138	The Atlantic Monthly, Volume 1, Issue 2, December, 1857	Various	English
10139	The Faith of the Millions (2nd series)	George Tyrrell	English
10140	Rhetoric and Poetry in the Renaissance	Donald Lemen Clark	English
10141	A Discourse on the Life, Character and Writings of Gulian Crommelin	William Cullen Bryant	English
10142	Maezli	Johanna Spyri	English
10143	Punch, Volume 153, July 11, 1917	Various	English
10144	Punchinello, Vol. II., No. 35, November 26, 1870	Various	English
10145	Turkey: A Past and a Future	Arnold Joseph Toynbee	English
10146	Reminiscences of Pioneer Days in St. Paul	Frank Moore	English
10147	America's War for Humanity	Thomas Herbert Russell	English
10148	The Merry Adventures of Robin Hood	Howard Pyle	English
10149	Home as Found	James Fenimore Cooper	English
10150	Dracula's Guest	Bram Stoker	English
10151	The Great Events by Famous Historians, Volume 5	Various	English
10159	England and the War	Walter Raleigh	English
10160	Pierre Noziere	Anatole France	French
10161	English Poets of the Eighteenth Century	Selected and Edited with an Introduction by Ernest Bernbaum	English
10162	Dio's Rome, Vol. III	Cassius Dio	English
10163	Mohammedanism	C. Snouck Hurgronje	English
10164	The Black Creek Stopping-House	Nellie McClung	English
10165	Across the Zodiac	Percy Greg	English
10166	What Germany Thinks	Thomas F. A. Smith	English
101	Hacker Crackdown	Bruce Sterling	English
102	The Tragedy of Pudd'nhead Wilson	Mark Twain (Samuel Clemens)	English
103	Around the World in 80 Days	Jules Verne	English
104	Franklin Delano Roosevelt's First Inaugural Address	Franklin Delano Roosevelt	English
105	Persuasion	Jane Austen	English
106	Jungle Tales of Tarzan	Edgar Rice Burroughs	English
107	Far from the Madding Crowd	Thomas Hardy	English
108	The Return of Sherlock Holmes	Arthur Conan Doyle	English
109	Renascence and Other Poems	Edna St. Vincent Millay	English
10201	The Desert of Wheat	Zane Grey	English
10202	Maria Mitchell: Life, Letters, and Journals	Maria Mitchell	English
10210	Wolves of the Sea	Randall Parrish	English
10211	At Whispering Pine Lodge	Lawrence J. Leslie	English
10212	Peck's Bad Boy at the Circus	George W. Peck	English
10213	The Everlasting Whisper	Jackson Gregory	English
10214	Introduction to the Philosophy and Writings of Plato	Thomas Taylor	English
10215	Manfredo Palavicino	Giuseppe Rovani	Italian
10216	Poems	Marietta Holley	English
10217	The Land Of Little Rain	Mary Hunter Austin	English
10218	Stauder	G.N. Brandt	Danish
10219	The Poetical Works of William Wordsworth	(Edited by William Knight)	English
1020	Sword Blades and Poppy Seed	Amy Lowell	English
1021	The Congo and Other Poems	Vachel Lindsay	English
1022	Walking	Henry David Thoreau	English
1024	The Wrecker	Robert Louis Stevenson and Lloyd Osbourne	English
1027	The Lone Star Ranger	Zane Grey	English
1028	The Professor	(AKA Charlotte Bronte) Currer Bell	English
1029	The Night-Born	Jack London	English
10220	Daddy Takes Us Skating	Howard R. Garis	English
10221	Purple Springs	Nellie L. McClung	English
10222	The Pilgrims of New England	Mrs. J. B. Webb	English
10223	Meyers Konversationslexikon Volume 15	Various	German
10224	Kalitan, Our Little Alaskan Cousin	Mary F. Nixon-Roulet	English
10225	Their Crimes	Various	English
10226	Beautiful Joe	by Marshall Saunders	English
10234	Old Creole Days	George Washington Cable	English
10251	Town Geology	Charles Kingsley	English
10266	The Glands Regulating Personality	Louis Berman, M.D.	English
10267	The Outdoor Chums	Captain Quincy Allen	English
10268	Patty at Home	Carolyn Wells	English
10274	Sermons on Evil-Speaking	Isaac Barrow	English
10289	Le Chat du Neptune	Ernest D'Hervilly	French
10290	Confession de Minuit	Georges Duhamel	French
10291	In The Fourth Year	H.G. Wells	English
10292	Punchinello, Vol. 2, No. 36, December 3, 1870	Various	English
10293	Relacion historica de los sucesos de la rebelion de Jose Gabriel	Anonymous	Spanish
10294	Verse and Prose for Beginners in Reading	Horace Elisha Scudder, editor	English
10310	Audio: After Dinner Toast at Little Menlo	Arthur Sullivan	English
10314	Sonnets	Michael Angelo Buonarroti & Tommaso Campanella	English
10315	Persian Literature, Volume 1,Comprising The Shah Nameh, The	Anonymous	English
10316	Roy Blakeley's Adventures in Camp	Percy Keese Fitzhugh	English
10317	Betty Gordon at Boarding School	Alice Emerson	English
10318	Damon and Delia	William Godwin	English
10319	Dave Darrin's Third Year at Annapolis	H. Irving Hancock	English
1032	The Pupil	Henry James	English
1033	Rose O' the River	Kate Douglas Wiggin	English
1034	Poems	Wilfred Owen	English
1035	The Man Against the Sky	Edwin Arlington Robinson	English
1036	Joe Wilson and His Mates	Henry Lawson	English
1037	The Life of John Bunyan	Edmund Venables	English
1039	Missionary Travels and Researches in South Africa	David Livingstone	English
10320	Dotty Dimple at Play	Sophie May	English
10321	Dragon's blood	Henry Milner Rideout	English
10322	Miss Prudence	Jennie Maria (Drinkwater) Conklin	English
10323	The Rover Boys at College	Edward Stratemeyer	English
10324	Bull Hunter	Max Brand	English
10325	The Gospel of the Pentateuch	Charles Kingsley	English
10326	David	Charles Kingsley	English
10327	Alias The Lone Wolf	Louis Joseph Vance	English
10328	Poems	Walter R. Cassels	English
10329	Snubby Nose and Tippy Toes	Laura Rountree Smith	English
10330	Fruitfulness	Emile Zola	English
10331	The Mirror of Literature, Amusement, and Instruction	Various	English
10332	The Mirror of Literature, Amusement, and Instruction	Various	English
10333	The European Anarchy	G. Lowes Dickinson	English
10334	Van 't  viooltje dat weten wilde	Maria Catherina Metz-Koning (1864-1926)	Dutch
10335	Children's Rights and Others	Kate Douglas Smith Wiggin	English
10336	A Select Collection of Old English Plays, Vol. VII (4th edition)	Various	English
10337	Lady Into Fox	David Garnett	English
10338	With the Turks in Palestine	Alexander Aaronsohn	English
10339	An Antarctic Mystery	Jules Verne	English
10340	Dab Kinzer	William O. Stoddard	English
10341	The Great Events by Famous Historians, Vol. 21	Charles F. Horne, Editor	English
10342	The Velvet Glove	Henry Seton Merriman	English
10343	The Works of Charles and Mary Lamb, Volume 2	Charles Lamb	English
10345	Domestic Manners of the Americans	Fanny Trollope	English
10346	C'Etait ainsi...	Cyriel Buysse	French
10347	Free from School	Rahul Alvares	English
10348	Audio: Go to Sea Once More	Roger McGuinn	English
10349	Naar het middelpunt der Aarde	Jules Gabriel Verne (1828-1905)	Dutch
10350	The Works of Samuel Johnson, Vol. 6	Samuel Johnson	English
10351	The Works of Samuel Johnson, Vol. 10.	Samuel Johnson	English
10352	The Works of Samuel Johnson, Vol. 11.	Samuel Johnson	English
10353	Satyros oder Der vergoetterte Waldteufel	J.W. Goethe	German
10354	Die Laune des Verliebten	J.W. Goethe	German
10355	Travels in Morocco, Vol. 1.	James Richardson	English
10356	Travels in Morocco, Vol. 2.	James Richardson	English
