number	title	author	language
11322	The Mirror of Literature, Amusement, and Instruction.	Various	English
11323	Caleb Williams	William Godwin	English
11324	This Is the End	Stella Benson	English
11325	The Happiest Time of Their Lives	Alice Duer Miller	English
11326	The Mirror of Literature, Amusement, and Instruction, Vol. 10, No.	Various	English
11327	English Literature: Modern	G. H. Mair	English
11328	The Hunted Woman	James Oliver Curwood	English
11329	Lands of the Slave and the Free	Henry A. Murray	English
11330	The Mirror of Literature, Amusement, and Instruction	Various	English
11331	The Mirror of Literature, Amusement, and Instruction	Various	English
11332	The Mirror of Literature, Amusement, and Instruction	Various	English
11333	The Pearl Story Book	Mrs. Colman	English
11334	Wilson's Tales of the Borders and of Scotland, XXII	various	English
11335	The Einstein Theory of Relativity	H.A. Lorentz	English
11336	The Mirror of Literature, Amusement, and Instruction	Various	English
11337	Cowmen and Rustlers	Edward S. Ellis	English
11338	The Mirror of Literature, Amusement, and Instruction, Vol. 13,	Various	English
11339	Aesop's Fables	Aesop	English
11340	The Mirror of Literature, Amusement, and Instruction, Vol. 13,	Various	English
11341	The Mirror of Literature, Amusement, and Instruction, Vol. 10,	Various	English
11342	The Mirror of Literature, Amusement, and Instruction, Vol. 13,	Various	English
11343	The Mirror of Literature, Amusement, and Instruction.	Various	English
11344	Scientific American Supplement, No. 415, December 15, 1883	Various	English
11345	Education as Service	J. Krishnamurti	English
11346	The Saint's Tragedy	Charles Kingsley	English
11347	The Mirror of Literature, Amusement, and Instruction	Various	English
11348	The Mirror of Literature, Amusement, and Instruction, Vol. 13,	Various	English
11349	Action Front	Boyd Cable (Ernest Andrew Ewart)	English
11350	The Mirror of Literature, Amusement, and Instruction.	Various	English
11351	Cape Cod Ballads, and Other Verse	Joseph C. Lincoln	English
11352	Germany and the Next War	Friedrich von Bernhardi	English
11353	History of Liberia	J.H.T. McPherson	English
11354	The Irrational Knot	George Bernard Shaw	English
11355	Pallieter	Felix Timmermans	Dutch
11356	A Tale of One City: The New Birmingham	Thomas Anderton	English
11357	Jimgrim and Allah's Peace	Talbot Mundy	English
11358	Atlantic Monthly, Volume 8, No. 48, October, 1861	Various	English
11359	Punch, or the London Charivari, Vol. 156, Feb. 26, 1919	Various	English
11360	Sacred And Profane Love	E. Arnold Bennett	English
11361	The Mirror of Literature, Amusement, and Instruction, Vol. 13,	Various	English
11362	The Mirror of Literature, Amusement, and Instruction, Vol. 12,	Various	English
11363	Bayard: The Good Knight Without Fear And Without Reproach	Christopher Hare	English
11364	Clarissa, Volume 6 (of 9)	Samuel Richardson	English
11365	The Fern Lover's Companion	George Henry Tilton	English
11366	The German Classics of The Nineteenth and Twentieth Centuries, Vol. II	Editor-in-Chief: Kuno Francke	English
11367	A History of China	Wolfram Eberhard	English
11368	Stories of Inventors	Russell Doubleday	English
11369	The Mirror of Literature, Amusement, and Instruction.	Various	English
11370	The Mirror of Literature, Amusement, and Instruction,	Various	English
11371	The Moorland Cottage	Elizabeth Cleghorn Gaskell	English
11372	The Nine-Tenths	James Oppenheim	English
11373	Through the Wall	Cleveland Moffett	English
11374	Fun And Frolic	Various	English
11375	The Mirror of Literature, Amusement, and Instruction, Vol. 10,	Various	English
11376	Autobiographical Sketches	Annie Besant	English
11377	The Man Whom the Trees Loved	Algernon Blackwood	English
11378	The Mirror Of Literature, Amusement, And Instruction	Various	English
11379	Round Anvil Rock	Nancy Huston Banks	English
11380	Le socialisme en danger	Ferdinand Domela Nieuwenhuis	French
11381	Sermons for the Times	Charles Kingsley	English
11382	The Mirror of Literature, Amusement, and Instruction	Various	English
11383	Scientific American Supplement, Vol. XXI., No. 531, March 6, 1886	Various	English
11384	The Mirror of Literature, Amusement, and Instruction, Vol. 10,	Various	English
11385	Scientific American Supplement, No. 446, July 19, 1884	Various	English
11386	The Mirror of Literature, Amusement, and Instruction.	Various	English
11387	The Mirror of Literature, Amusement, and Instruction	Various	English
11388	The Mirror of Literature, Amusement, and Instruction	Various	English
11389	The Mirror of Literature, Amusement, and Instruction	Various	English
11390	The Mirror of Literature, Amusement, and Instruction	Various	English
11391	Lectures on Art	Washington Allston	English
11392	Not Pretty, But Precious	John Hay, et al.	English
11393	20.000 Mijlen onder Zee: Westelijk Halfrond	Jules Verne	Dutch
11394	Fighting in Flanders	E. Alexander Powell	English
11395	Cheerful--By Request	Edna Ferber	English
11396	Faedra	Herman Bang	Danish
11397	The Works of Samuel Johnson, LL.D, In Nine Volumes	Samuel Johnson	English
11398	A Further Contribution to the Study of the Mortuary Customs of the North American Indians	H.C. Yarrow	English
11399	The Pirates of Malabar, and An Englishwoman in India Two Hundred Years Ago	John Biddulph	English
11400	Mystic Isles of the South Seas.	Frederick O'Brien	English
11401	The Mirror of Literature, Amusement, and Instruction.	Various	English
11402	The Sky Line of Spruce	Edison Marshall	English
11403	Bell's Cathedrals: The Churches of Coventry	Frederic W.  Woodhouse	English
11404	The Mirror of Literature, Amusement, and Instruction, Vol. 12,	Various	English
11405	The Mirror of Literature, Amusement, and Instruction, Vol. 12,	Various	English
11406	The Mirror of Literature, Amusement, and Instruction, Vol. 12,	Various	English
11407	The Mirror of Literature, Amusement, and Instruction, Vol. 10,	Various	English
11408	The Mirror of Literature, Amusement, and Instruction	Various	English
11409	The Red Rover	James Fenimore Cooper	English
11410	Wanderings in Wessex	Edric Holmes	English
11411	The Mirror of Literature, Amusement, and Instruction	Various	English
11412	The Mirror of Literature, Amusement, and Instruction, Vol. 10,	Various	English
11413	The Refugees	Arthur Conan Doyle	English
11414	In the Claws of the German Eagle	Albert Rhys Williams	English
11415	Atlantic Monthly, Volume 8, Issue 49, November, 1861	Various	English
11416	A Description of Modern Birmingham	Charles Pye	English
11417	French Mediaeval Romances from the Lays of Marie de France	Marie de France	English
11418	The Grafters	Francis Lynde	English
11419	The Love Affairs of Great Musicians, Volume 2	Rupert Hughes	English
1140	Latter-Day Pamphlets	Thomas Carlyle	English
1142	Typhoon	Joseph Conrad	English
1143	Notes on Life and Letters	Joseph Conrad	English
1144	In the Cage	Henry James	English
1145	Rupert of Hentzau	Anthony Hope	English
1146	Journal of A Voyage to Lisbon	Henry Fielding	English
1147	From This World to the Next	Henry Fielding	English
1149	From London to Land's End	Daniel Defoe	English
11420	The Mirror of Literature, Amusement, and Instruction.	Various	English
11421	Russell H. Conwell	Agnes Rush Burr	English
11422	Slave Narratives: A Folk History of Slavery in the United States	Work Projects Administration	English
11423	Histoire de la Revolution francaise, VI	Adolphe Thiers	French
11424	The Trade Union Woman	Alice Henry	English
11425	Punch, or the London Charivari, Vol. 153, Dec. 5, 1917	Various	English
11426	The Call of the North	Stewart Edward White	English
11427	A Grandmother's Recollections	Ella Rodman	English
11428	Punch, or the London Charivari, Vol. 153, Nov. 14, 1917	Various	English
11429	Punch, or the London Charivari, Vol. 156, April 30, 1919	Various	English
11430	Goede Vaer Tromp	Pieter Louwerse (1840-1908)	Dutch
11431	Character Sketches of Romance, Fiction and the Drama, Vol 1	The Rev. E. Cobham Brewer, LL.D.	English
11432	The Youth's Coronal	Hannah Flagg Gould	English
11433	The Mirror of Literature, Amusement, and Instruction	Various	English
11434	Pauvre Blaise	Comtesse de Segur	French
11435	Small Means and Great Ends	Edited by Mrs. M. H. Adams	English
11436	Stories by American Authors, Volume 1	Various	English
11437	Stories by American Authors, Volume 5	Various	English
11438	The Willows	Algernon Blackwood	English
11439	The Snow-Drop	Sarah S. Mower	English
11440	Tales of Three Hemispheres	Lord Dunsany	English
11441	The Solitary of Juan Fernandez, or The Real Robinson Crusoe	Joseph Xavier Saintine	English
11442	The Mirror of Literature, Amusement, and Instruction	Various	English
11443	Punch, or the London Charivari, Vol. 153, Nov. 28, 1917	Various	English
11444	Punch, or the London Charivari, Vol. 153, Dec. 12, 1917	Various	English
11445	The Mirror of Literature, Amusement, and Instruction, Vol. 12,	Various	English
11446	The Mirror of Literature, Amusement, and Instruction, Vol. 14,	Various	English
11447	The Mirror of Literature, Amusement, and Instruction, Vol. 14,	Various	English
11448	Cicero	Rev. W. Lucas Collins	English
11449	An Enquiry into the Obligations of Christians to Use Means for the	William Carey	English
11450	Fort comme la mort	Guy de Maupassant	French
11451	The Rome Express	Arthur Griffiths	English
11452	Stories by American Authors, Volume 6	Various	English
11453	La Suggestibilite	Alfred Binet	French
11454	A Visit To The United States In 1841	Joseph Sturge	English
11455	The Mirror of Literature, Amusement, and Instruction	Various	English
11456	The Mirror of Literature, Amusement, and Instruction	Various	English
11457	The Mirror of Literature, Amusement, and Instruction, Vol. 14,	Various	English
11458	The Mirror of Literature, Amusement, and Instruction, Vol. 14,	Various	English
11459	The Mirror of Literature, Amusement, and Instruction	Various	English
11460	The Mirror of Literature, Amusement, and Instruction	Various	English
11461	Armenian Literature	Anonymous	English
11462	The Mirror of Literature, Amusement, and Instruction	Various	English
11463	The Mirror of Literature, Amusement, and Instruction, Vol. 14,	Various	English
11464	Cuba, Old and New	Albert Gardner Robinson	English
11465	Atlantic Monthly, Volume 6, No. 38, December, 1860	Various	English
11466	Punch, or the London Charivari, Vol. 153, Dec. 19, 1917	Various	English
11467	Verhaal van het vergaan van het jacht de Sperwer	Hendrik Hamel	Dutch
11468	Darkest India	Commissioner Booth-Tucker	English
11469	Boy Scouts on Motorcycles	G. Harvey Ralphson	English
11470	His Big Opportunity	Amy Le Feuvre	English
11471	Shareholders	W.W. Jacobs	English
11472	Paying Off	W.W. Jacobs	English
11473	Made to Measure	W.W. Jacobs	English
11474	Sam's Ghost	W.W. Jacobs	English
11475	The Convert	W.W. Jacobs	English
11476	Husbandry	W.W. Jacobs	English
11477	Family Cares	W.W. Jacobs	English
11478	Bedridden and The Winter Offensive	W.W. Jacobs	English
11479	The Substitute	W.W. Jacobs	English
11480	Striking Hard	W.W. Jacobs	English
11481	Dirty Work	W.W. Jacobs	English
11482	Deep Waters, The Entire Collection	W.W. Jacobs	English
11483	The Life and Letters of Lewis Carroll	Stuart Dodgson Collingwood	English
11484	Le pilote du Danube	Jules Verne	French
11485	Slave Narratives: A Folk History of Slavery in the United States	Work Projects Administration	English
11486	The Mirror of Literature, Amusement, and Instruction, Vol. 14,	Various	English
11487	The Mirror of Literature, Amusement, and Instruction, Vol. 13,	Various	English
11488	The Poetical Works of John Dryden, Vol I	John Dryden	English
11489	Some Historical Account of Guinea, Its Situation, Produce, and the General Disposition of Its Inhabitants	Anthony Benezet	English
11490	American Negro Slavery	Ulrich Bonnell Phillips	English
11491	Punch, or the London Charivari, Vol. 153, October 31, 1917	Various	English
11492	Il Tenente dei Lancieri	Gerolamo Rovetta	Italian
11493	The Blotting Book	E. F. Benson	English
11494	Les joies du pardon	Anonymous	French
11495	La Main Gauche	Guy de Maupassant	French
11496	Poetry	Arthur Thomas Quiller-Couch	English
11497	Valenzia Candiano	Giuseppe Rovani	Italian
11498	Scientific American Supplement, No. 601, July 9, 1887	Various	English
11499	An Essence Of The Dusk, 5th Edition	F. W. Bain	English
11500	De Val van Antwerpen	Jozef Muls	Dutch
11501	Laughing Bill Hyde and Other Stories	Rex Beach	English
11502	An Englishman Looks at the World	H. G. Wells	English
11503	Keeping up with Lizzie	Irving Bacheller	English
11504	Further Foolishness	Stephen Leacock	English
11505	All Things Considered	G. K. Chesterton	English
11506	The Old Bell Of Independence; Or, Philadelphia In 1776	Henry C. Watson	English
11507	The Lure of San Francisco	Elizabeth Gray Potter and Mabel Thayer Gray	English
11508	Reminiscences of a Pioneer	Colonel William Thompson	English
11509	The Life of Jesus Christ for the Young	Richard Newton	English
11510	Fascinating San Francisco	Fred Brandt and Andrew Y. Wood	English
11511	Robinsono Kruso	Daniel Defo	Esperanto
11512	O. Henry Memorial Award Prize Stories of 1921	Various	English
11513	On Land And Sea At The Dardanelles	Thomas Charles Bridges	English
11514	Balcony Stories	Grace E. King	English
11515	The Mirror of Literature, Amusement, and Instruction	Various	English
11516	The Mirror of Literature, Amusement, and Instruction	Various	English
11517	Out of Doors--California and Oregon	J. A. Graves	English
11518	The Mirror of Literature, Amusement, and Instruction	Various	English
11519	The Mirror of Literature, Amusement, and Instruction	Various	English
1150	The Danish History, Books I-IX	Saxo Grammaticus ("Saxo the Learned")	English
1151	The Nibelungenlied	Unknown	English
1152	The Story of the Volsungs, (Volsunga Saga)	Anonymous	English
1154	The Voyages of Doctor Dolittle	Hugh Lofting	English
1155	The Secret Adversary	Agatha Christie	English
1156	Babbitt	Sinclair Lewis	English
1157	Damaged Goods	Upton Sinclair	English
1158	Penrod and Sam	Booth Tarkington	English
1159	Fire-Tongue	Sax Rohmer	English
11520	The Obstacle Race	Ethel M. Dell	English
11521	A Beleaguered City	Mrs. Oliphant	English
11522	Deadly Pollen	Stephen Oliver	English
11523	Behind the News: Voices from Goa's Press	Various	English
11524	Atlantic Monthly, Vol. 8, No. 50, December, 1861	Various	English
11525	Atlantic Monthly, Vol. 3, No. 18, April, 1859	Various	English
11526	Summer on the Lakes, in 1843	S.M. Fuller	English
11527	The World's Greatest Books, Vol VII	Various	English
11528	The Mirror of Literature, Amusement, and Instruction	Various	English
11529	La Espuma	D. Armando Palacio Valdes	Spanish
11530	The Mirror of Literature, Amusement, and Instruction	Various	English
11531	The Life of Marie de Medicis, Vol. 1 (of 3)	Julia Pardoe	English
11532	A Kentucky Cardinal	James Lane Allen	English
11533	Theocritus	Theocritus	English
11534	The Lions of the Lord	Harry Leon Wilson	English
11535	Views a-foot	J. Bayard Taylor	English
11536	Town and Country Sermons	Charles Kingsley	English
11537	The Mirror of Literature, Amusement, and Instruction	Various	English
11538	The Mirror of Literature, Amusement, and Instruction.	Various	English
11539	The Mirror of Literature, Amusement, and Instruction.	Various	English
11540	The Mirror of Literature, Amusement, and Instruction.	Various	English
11541	The Mirror of Literature, Amusement, and Instruction.	Various	English
11542	The Mirror of Literature, Amusement, and Instruction	Various	English
11543	The Mirror of Literature, Amusement, and Instruction	Various	English
11544	Slave Narratives: A Folk History of Slavery in the United States	Work Projects Administration	English
11545	Travels in the United States of America	William Priest	English
11546	The Autobiography of a Journalist, Volume I	Stillman, William James	English
11547	Blackfoot Lodge Tales	George Bird Grinnell	English
11548	McClure's Magazine December, 1895	Edited by Ida M. Tarbell	English
11549	The Life and Letters of Elizabeth Prentiss	George L. Prentiss	English
11550	Squash Tennis	Richard C. Squires	English
11551	The Mirror of Literature, Amusement, and Instruction	Various	English
11552	Slave Narratives: A Folk History of Slavery in the United States	Work Projects Administration	English
11553	The Wonders of Prayer	Various	English
11554	The Crimes of England	G.K. Chesterton	English
11555	Our Farm of Four Acres and the Money we Made by it	Miss Coulton	English
11556	Facing the Flag	Jules Verne	English
11557	On Compromise	John Morley	English
11558	Poems	Sam G. Goodrich	English
11559	Renaissance in Italy Vol. 3	John Addington Symonds	English
11560	The Barbarism of Berlin	G. K. Chesterton	English
11561	People of the Whirlpool	Mabel Osgood Wright	English
11562	Inquiries into Human Faculty and Its Development	Francis Galton	English
11563	Morning Bells	Frances Ridley Havergal	English
11564	An Essay on War, in Blank Verse; Honington Green, a Ballad; The	Nathaniel Bloomfield	English
11565	Friends, though divided	G. A. Henty	English
11566	The Mirror of Literature, Amusement, and Instruction	Various	English
11567	The Mirror of Literature, Amusement, and Instruction	Various	English
11568	The Mirror of Literature, Amusement, and Instruction	Various	English
11569	The Mirror of Literature, Amusement, and Instruction	Various	English
11570	Punch, or The London Charivari, Vol. 153, November 7, 1917	Various	English
11571	Mr. Punch's History of the Great War	Punch	English
11572	The Man From Brodney's	George Barr McCutcheon	English
11573	The Crater	James Fenimore Cooper	English
11574	Master Skylark	John Bennett	English
11575	Notes & Queries 1850.01.19	Various	English
11576	The Works of Charles and Mary Lamb IV	Charles and Mary Lamb	English
11577	Notes & Queries 1849.11.17	Various	English
11578	The Poetical Works of John Dryden, Vol II	John Dryden	English
11579	Scott's Last Expedition Volume I	Captain R. F. Scott	English
11580	The Teaching of Jesus	George Jackson	English
11581	From Out the Vasty Deep	Mrs. Belloc Lowndes	English
11582	Old Greek Stories	James Baldwin	English
11583	The Runaway Asteroid	Michael D. Cooper	English
11584	Madcap	George Gibbs	English
11585	The Young Emigrants; Madelaine Tube; The Boy and the Book; and	Susan Anne Livingston Ridley Sedgwick	English
11586	L'Ameublement de l'Hôtel de Pitsembourg au milieu du XVIIe siècle	Robert D'Awans	French and Dutch
11587	The School Book of Forestry	Charles Lathrop Pack	English
11588	L'argent des autres	Emile Gaboriau	French
11589	Le Docteur Ox	Jules Verne	French
11590	Les Francais en Amerique pendant la guerre de l'independance	Thomas Balch	French
11591	Hugo de Groot en zijn rechtsphilosophie	H. Bertens	Dutch
11593	The Purchase Price	Emerson Hough	English
11594	The Autobiography of a Journalist, Volume II	William James Stillman	English
11595	The Pearl Box	A Pastor	English
11596	La Maison Tellier	Guy de Maupassant	French
11597	Mlle Fifi	Guy de Maupassant	French
11598	La Montana	Eliseo Reclus	Spanish
11599	Withered Leaves from Memory's Garland	Abigail Stanley Hanna	English
11600	The Life of Marie de Medicis, Vol. 2 (of 3)	Julia Pardoe	English
11601	The Life of Marie de Medicis, Vol. 3 (of 3)	Julia Pardoe	English
11602	The World of Ice	Robert Michael Ballantyne	English
11603	The House of Cobwebs and Other Stories	George Gissing	English
11604	Atlantic Monthly Vol. 6, No. 33, July, 1860	Various	English
11605	The Appetite of Tyranny	G.K. Chesterton	English
11606	Atlantic Monthly Vol. 3, No. 16, February, 1859	Various	English
11607	Dio's Rome	Cassius Dio	English
11608	From a Girl's Point of View	Lilian Bell	English
11609	The Golden Canyon	G. A. Henty	English
11610	Madam Crowl's Ghost and The Dead Sexton	Joseph Sheridan LeFanu	English
11611	The Mirror of Literature, Amusement, and Instruction	Various	English
11612	The Mirror of Literature, Amusement, and Instruction	Various	English
11613	The Mirror of Literature, Amusement, and Instruction	Various	English
11614	The Second Generation	David Graham Phillips	English
11615	The Grammar of English Grammars	Goold Brown	English
11616	The Mirror of Literature, Amusement, and Instruction, Vol. 19,	Various	English
11617	Punch, or the London Charivari, Vol. 156, Apr 2, 1919	Various	English
11618	From Chaucer to Tennyson	Henry A. Beers	English
11619	Punch, or the London Charivari, Vol. 153, Nov 21, 1917	Various	English
1160	The Game	Jack London	English
1161	Jerry of the Islands	Jack London	English
1162	The Jacket (The Star-Rover)	Jack London	English
1163	Adventure	Jack London	English
1164	The Iron Heel	Jack London	English
1167	A Strange Disappearance	Anna Katharine Green	English
1168	The Pool in the Desert	Sara Jeanette Duncan	English
1169	Agesilaus	Xenophon	English
11620	My Brilliant Career	Miles Franklin	English
11621	Le Mauvais Genie	Comtesse de Segur	French
11622	Plus fort que Sherlock Holmes	Mark Twain	French
11623	The Dramatic Works of John Dryden Vol. I.	Sir Walter Scott	English
11624	The Reflections of Ambrosine	Elinor Glyn	English
11625	The Wrong Twin	Harry Leon Wilson	English
11626	Dawn of All	Robert Hugh Benson	English
11628	Gossip in a Library	Edmund Gosse	English
11629	Punch, or the London Charivari, Vol. 153, Dec. 26, 1917	Various	English
11630	Punch, or the London Charivari, Vol. 156, June 18, 1919	Various	English
11631	The Mirror of Literature, Amusement, and Instruction, Vol. 19,	Various	English
11632	Woman: Man's Equal	Thomas Webster	English
11633	Parsifal	Retold by Oliver Huckel	English
11634	Human Nature In Politics	Graham Wallas	English
11635	Green Tea;  Mr. Justice Harbottle	Joseph Sheridan LeFanu	English
11636	Notes & Queries 1849.12.01	Various	English
11637	The Mirror of Literature, Amusement, and Instruction	Various	English
11638	Punch, July 18, 1917	Various	English
11639	Figures of Earth	James Branch Cabell	English
11640	Love and Mr. Lewisham	H. G. Wells	English
11641	Over There	Arnold Bennett	English
11642	What to See in England	Gordon Home	English
11643	John Caldigate	Anthony Trollope	English
11644	La notte del Commendatore	Anton Giulio Barrili	Italian
11645	La rôtisserie de la Reine Pédauque	Anatole France	French
11646	Noa Noa	Paul Gauguin	French
11647	Scientific American Supplement, No. 458, October 11, 1884	Various	English
11648	Scientific American Supplement, No. 595, May 28, 1887	Various	English
11649	Scientific American Supplement, No. 799, April 25, 1891	Various	English
11650	La Belle-Nivernaise: Histoire d'un vieux bateau et de son équipage	Alphonse Daudet	French
11651	Notes & Queries 1849.12.15	Various	English
11652	Notes & Queries 1849.12.22	Various	English
11653	Notes & Queries 1850.01.12	Various	English
11654	Confessions of a Young Man	George Moore	English
11655	Fate Knocks at the Door	Will Levington Comfort	English
11656	The Great Shadow and Other Napoleonic Tales	Arthur Conan Doyle	English
11657	La Nina de Luzmela	Concha Espina	Spanish
11658	A Williams Anthology	Compiled by Edwin Partridge Lehman and Julian Park	English
11659	The World's Greatest Books, Vol VIII	Arthur Mee and J.A. Hammerton, Eds.	English
11660	Ethel Morton's Enterprise	Mabell S.C. Smith	English
11661	The Piper	Josephine Preston Peabody	English
11662	Scientific American Supplement, No. 598, June 18, 1887	Various	English
11663	El Arroyo	Eliseo Reclus	Spanish
11664	The Camp Fire Girls Do Their Bit	Hildegard G. Frey	English
11665	Collections and Recollections	George William Erskine Russell	English
11666	The Conjure Woman	Charles W. Chesnutt	English
11667	Gentle Measures in the Management and Training of the Young	Jacob Abbott	English
11668	The Gold Hunters	James Oliver Curwood	English
11669	La Puerta de Bronce y Otros Cuentos	Manuel Romero de Terreros, Marqu,s de San Francisco	Spanish
11670	Punch, or the London Charivari, Vol. 156, June 11, 1919	Various	English
11671	The Rudder Grangers Abroad and Other Stories	Frank R. Stockton	English
11672	A Short History of Women's Rights	Eugene A. Hecker	English
11673	Stickeen	John Muir	English
11674	The Torrent	Vicente Blasco Ibanez	English
11675	Vanishing Roads and Other Essays	Richard Le Gallienne	English
11676	The Balkan Wars: 1912-1913	Jacob Gould Schurman	English
11677	Ohne den Vater	Agnes Sapper	German
11678	La belle Gabrielle, vol. 2	Auguste Maquet	French
11679	The White Road to Verdun	Kathleen Burke	English
11680	George Eliot; A Critical Study of Her Life, Writings & Philosophy	George Willis Cooke	English
11681	Marco Paul's Voyages and Travels; Vermont	Jacob Abbott	English
11682	The Soul of the War	Philip Gibbs	English
11683	Where the Trail Divides	Will Lillibridge	English
11684	Il sogno di Scipione	Pietro Metastasio	Italian
11685	L'Endimione	Pietro Metastasio	Italian
11686	Without Dogma	Henryk Sienkiewicz	English
11687	Atlantic Monthly, Volume 3, Issue 17, March, 1859	Various	English
11688	History of Julius Caesar	Jacob Abbott	English
11689	Are Women People?	Alice Duer Miller	English
11690	Calvert of Strathore	Carter Goodloe	English
11691	Driftwood Spars	Percival Christopher Wren	English
11692	The German Classics of The Nineteenth and Twentieth Centuries, Vol. III	Kuno Francke (Editor-in-Chief)	English
11693	The world's great sermons, Volume 8	Grenville Kleiser	English
11694	The evolution of English lexicography	James Augustus Henry Murray	English
11695	The Mirror of Literature, Amusement, and Instruction	Various	English
11696	The Food of the Gods and How It Came to Earth	H.G. Wells	English
11697	Mare Nostrum (Our Sea)	Vicente Blasco Ibañez	English
11698	The Three Brontes	May Sinclair	English
11699	J. S. Le Fanu's Ghostly Tales, Volume 1	Joseph Sheridan Le Fanu	English
11700	J. S. Le Fanu's Ghostly Tales, Volume 2	Joseph Sheridan Le Fanu	English
11701	The Makers and Teachers of Judaism	Charles Foster Kent	English
11702	Washington and His Colleagues	Henry Jones Ford	English
11703	The Swiss Family Robinson; or Adventures in a Desert Island	Johann David Wyss	English
11704	Punch, or the London Charivari, Vol. 153, July 25, 1917	Various	English
11705	The Mirror of Literature, Amusement, and Instruction, Vol. 20,	Various	English
11706	The Mirror of Literature, Amusement, and Instruction, Vol. 20,	Various	English
11707	Notes & Queries 1850.01.26	Various	English
11708	Abraham Lincoln, A History, Volume 2	John George Nicolay and John Hay	English
11709	Slave Narratives: Arkansas Narratives	Work Projects Administration	English
11710	The Mirror of Literature, Amusement, and Instruction	Various	English
11711	When hearts are trumps	Thomas Winthrop Hall	English
11712	Punch, or the London Charivari, Vol. 156, June 25, 1919	Various	English
11713	The world's great sermons, Volume 3	Grenville Kleiser	English
11714	Contes de la Becasse	Guy de Maupassant	French
11715	The Eyes of the World	Harold Bell Wright	English
11716	The Balkans	Nevill Forbes, Arnold J. Toynbee, D. Mitrany, D.G. Hogarth	English
11717	The Palmy Days of Nance Oldfield	Edward Robins	English
11718	The Camp Fire Girls at School	Hildegard G. Frey	English
11719	Kincaid's Battery	George W. Cable	English
1170	Anabasis	Xenophon	English
1171	The Apology	Xenophon	English
1172	The Cavalry General	Xenophon	English
1173	The Economist	Xenophon	English
1174	Hellenica	Xenophon	English
1175	Hiero	Xenophon	English
1176	On Horsemanship	Xenophon	English
1177	The Memorabilia	Xenophon	English
1178	The Polity of the Athenians and the Lacedaemonians	Xenophon	English
1179	On Revenues	Xenophon	English
11720	Fenton's Quest	M. E. Braddon	English
11721	O. Henry Memorial Award Prize Stories of 1920	Various	English
11722	First Lessons In Geography	James Monteith	English
11723	Among the Trees at Elmridge	Ella Rodman Church	English
11724	Roberta	Luciano Zuccoli	Italian
11725	A Ramble of Six Thousand Miles through the United States of America	S. A. Ferrall	English
11726	Punch, or the London Charivari, Vol. 99, July 5, 1890	Various	English
11727	Atlantic Monthly, Volume 3, No. 19, May, 1859	Various	English
11728	Abraham Lincoln	George Haven Putnam	English
11729	Life of Johnson, Volume 6 (of 6)	James Boswell	English
11730	With the Allies	Richard Harding Davis	English
11731	Virginia: The Old Dominion	Frank W. Hutchins and Cortelle Hutchins	English
11732	Punch, or the London Charivari, Vol. 156, April 16, 1919	Various	English
11733	A Mere Accident	George Moore	English
11734	Scientific American Supplement, No. 460, October 25, 1884	Various	English
11735	Scientific American Supplement, No. 481, March 21, 1885	Various	English
11736	Scientific American Supplement, No. 586, March 26, 1887	Various	English
11737	Barks and Purrs	Colette Willy, aka Colette	English
11738	Hindoo Tales	Translated by P. W. Jacob	English
11739	Individualisme en socialisme	Oscar Wilde	Dutch
11740	The Mirror of Literature, Amusement, and Instruction	Various	English
11741	The Mirror of Literature, Amusement, and Instruction	Various	English
11742	The Mirror of Literature, Amusement, and Instruction	Various	English
11743	The Mirror of Literature, Amusement, and Instruction	Various	English
11744	L'oppidum de Bibracte	Anonymous (par un membre de la Société Éduenne, à l'occasion du Congrès scientifique d'Autun, d'après les notes et sous la direction de M. J.-G. Bulliot, l'explorateur du mont Beuvray)	French
11745	Blackwood's Edinburgh Magazine - April 1843	Various	English
11746	Through the Brazilian Wilderness	Theodore Roosevelt	English
11747	Les Demi-Vierges	Marcel Prevost	French
11748	French Conversation and Composition	Harry Vincent Wann	English / French
11749	New Irish Comedies	Lady Augusta Gregory	English
11750	J. S. Le Fanu's Ghostly Tales, Volume 3	Joseph Sheridan Le Fanu	English
11751	Atlantic Monthly, Volume 3, No. 20, June, 1859	Various	English
11752	Chivalry	James Branch Cabell	English
11753	Experimental Determination of the Velocity of Light	Albert A. Michelson	English
11754	Forty Years in South China	Rev. John Gerardus Fagg	English
11756	Creierul, O Enigma Descifrata	Dorin Teodor Moisa	Romanian
11757	The Velveteen Rabbit	Margery Williams	English
11758	Baldy of Nome	Esther Birdsall Darling	English
11759	The Bicyclers and Three Other Farces	John Kendrick Bangs	English
11760	The World's Great Sermons, Volume 10 (of 10)	Various	English
11761	Scientific American Supplement, No. 514, November 7, 1885	Various	English
11762	The American Missionary	Various	English
11763	The American Missionary	Various	English
11764	The American Missionary	Various	English
11765	Between You and Me	Sir Harry Lauder	English
11766	Contes bruns	Honoré de Balzac, Philarète Chasles et Charles Rabou	French
11767	Contes à Jeannot	J. Girardin	French
11768	The Works of Samuel Johnson in Nine Volumes	Samuel Johnson	English
11769	Un mois en Afrique	Pierre-Napoléon Bonaparte	French
11770	Lettres de mon moulin	Alphonse Daudet	French
11771	Occasional Papers	R.W. Church	English
11772	Narrative of a Voyage to Senegal in 1816	J. B. Henry Savigny and Alexander Correard	English
11773	Kullervo	Aleksis Kivi	Finnish
